taxonKey	taxonName	reappearance_year	years_without_occurrences	acceptedKingdom
2481936	Mycteria ibis	2026	22	Animalia
5409852	Campanula erinus	2026	17	Plantae
2474944	Grus japonensis	2026	16	Animalia
2475212	Crinifer zonurus	2026	9	Animalia
2480353	Pelecanus crispus	2026	9	Animalia
1247584	Stenopelmus rufinasus	2026	8	Animalia
5389058	Solidago altissima	2026	8	Plantae
7262958	Acer monspessulanum	2026	6	Plantae
8044946	Epimedium pinnatum	2026	6	Plantae
2481156	Larus glaucoides	2026	5	Animalia
5361977	Sedum mexicanum	2026	5	Plantae
5403743	Scolymus maculatus	2025	28	Plantae
1323402	Tetramorium bicarinatum	2025	17	Animalia
5295375	Smilax rotundifolia	2025	17	Plantae
2205951	Proasellus coxalis	2025	15	Animalia
2706209	Pseudosasa japonica	2025	15	Plantae
3190551	Rhus pulvinata	2025	15	Plantae
4121791	Molinia arundinacea	2025	14	Plantae
2705420	Eragrostis pectinacea	2025	13	Plantae
2986132	Ribes divaricatum	2025	11	Plantae
2203165	Cordioniscus stebbingi	2025	10	Animalia
2718387	Bolboschoenus glaucus	2025	10	Plantae
2928979	Hyoscyamus albus	2025	10	Plantae
3034002	Sassafras albidum	2025	10	Plantae
6313089	Echinochloa crus-galli subsp. utilis (Ohwi & Yabuno) T.Koyama	2025	10	Plantae
3144603	Brachyscome iberidifolia	2025	9	Plantae
5289758	Phalaris paradoxa	2025	9	Plantae
4293134	Neoclytus acuminatus	2025	8	Animalia
2049512	Daktulosphaira vitifoliae	2025	7	Animalia
2209044	Nagurus cristatus	2025	7	Animalia
3047811	Myagrum perfoliatum	2025	7	Plantae
3083702	Atriplex tatarica	2025	7	Plantae
4470640	Carabus rutilans	2025	7	Animalia
9040863	Neslia paniculata	2025	7	Plantae
9776414	Acharia stimulea	2025	7	Animalia
3021955	Prunus incisa	2025	6	Plantae
4938160	Berberis gagnepainii	2025	6	Plantae
5240299	Amanita inopinata	2025	6	Fungi
5352425	Anthyllis vulneraria subsp. carpatica (Pant.) Nyman	2025	6	Plantae
5414991	Digitalis ferruginea	2025	6	Plantae
2481110	Phoenicopterus chilensis	2025	5	Animalia
2498155	Mareca americana	2025	5	Animalia
2856681	Allium sativum	2025	5	Plantae
3026402	Spiraea thunbergii	2025	5	Plantae
3085412	Dianthus plumarius	2025	5	Plantae
3169713	Trachelospermum jasminoides	2025	5	Plantae
4362883	Cerithium vulgatum	2025	5	Animalia
4925890	Acer tataricum subsp. ginnala (Maxim.) Wesm.	2025	5	Plantae
5177089	Jaera istri	2025	5	Animalia
5220435	Pelodiscus sinensis	2025	5	Animalia
5372827	Salix irrorata	2025	5	Plantae
5384773	Silene pendula	2025	5	Plantae
5421116	Tribulus terrestris	2025	5	Plantae
8021567	Hypericum olympicum	2025	5	Plantae
8255921	Pulvinaria floccifera	2025	5	Animalia
2888310	Orthilia secunda	2024	38	Plantae
5354530	Chamaecytisus hirsutus	2024	36	Plantae
5690287	Sedum cepaea	2024	34	Plantae
5333408	Erica vagans	2024	32	Plantae
2932011	Solanum carolinense	2024	24	Plantae
5341198	Anchusa azurea	2024	24	Plantae
5285385	Pinus mugo	2024	21	Plantae
5275398	Pteris vittata	2024	16	Plantae
2494070	Ploceus melanocephalus	2024	15	Animalia
3189836	Acer pensylvanicum	2024	14	Plantae
5290143	Brachypodium distachyon	2024	14	Plantae
5334275	Lonicera morrowii	2024	14	Plantae
2480696	Neophron percnopterus	2024	13	Animalia
2480800	Platalea alba	2024	12	Animalia
3169169	Celastrus orbiculatus	2024	11	Plantae
11055820	Hydrocharis laevigata	2024	11	Plantae
2495190	Ocyphaps lophotes	2024	10	Animalia
2427555	Hyla meridionalis	2024	9	Animalia
3034653	Chaerophyllum bulbosum	2024	9	Plantae
3172099	Veronica austriaca	2024	9	Plantae
6391377	Rumex triangulivalvis	2024	9	Plantae
6391377	Rumex triangulivalvis	2024	9	Plantae
2888982	Rumex fueginus	2024	8	Plantae
5641274	Primula denticulata	2024	8	Plantae
1014565	Amphitomeus attemsi	2024	7	Animalia
1995489	Panchlora nivea	2024	7	Animalia
2442664	Apalone	2024	7	Animalia
2705565	Paspalum dilatatum	2024	7	Plantae
5166339	Lepas anatifera	2024	7	Animalia
5410661	Campanula pyramidalis	2024	7	Plantae
7271631	Pyrus communis subsp. communis	2024	7	Plantae
8045533	Potentilla supina subsp. costata Soják	2024	7	Plantae
8766638	Hypsopygia nostralis	2024	7	Animalia
1003567	Pectinatella magnifica	2024	6	Animalia
1309635	Aphelonyx cerricola	2024	6	Animalia
3189835	Acer macrophyllum	2024	6	Plantae
5290167	Phyllostachys aurea	2024	6	Plantae
8069880	Falco rusticolus	2024	6	Animalia
9551728	Tapinoma magnum	2024	6	Animalia
1043717	Cryptolaemus montrouzieri	2024	5	Animalia
1521740	Atypophthalmus umbratus	2024	5	Animalia
2162537	Oecobius navus	2024	5	Animalia
2458538	Zamenis longissimus	2024	5	Animalia
2480542	Buteo jamaicensis	2024	5	Animalia
2527401	Favolaschia calocera	2024	5	Fungi
2705503	Glyceria striata	2024	5	Plantae
2706218	Lolium rigidum	2024	5	Plantae
2722380	Carex crawfordii	2024	5	Plantae
2858909	Narcissus jonquilla	2024	5	Plantae
2945513	Cladrastis kentukea	2024	5	Plantae
3027332	Spiraea rosalba	2024	5	Plantae
3046765	Sisymbrium erysimoides	2024	5	Plantae
3940960	Malva punctata	2024	5	Plantae
5104748	Cameraria gaultheriella	2024	5	Animalia
5229165	Aegypius monachus	2024	5	Animalia
5289492	Typha minima	2024	5	Plantae
5360402	Trigonella procumbens	2024	5	Plantae
5371870	Bifora radians	2024	5	Plantae
6476704	Parakontikia ventrolineata	2024	5	Animalia
8265082	Monochamus sartor	2024	5	Animalia
9685907	Falco sparverius	2024	5	Animalia
10714947	Oxybasis salina	2024	5	Plantae
2287689	Clausinella fasciata	2023	39	Animalia
2928534	Ipomoea nil	2023	24	Plantae
1728965	Tachycines asynamorus	2023	21	Animalia
2498097	Anas castanea	2023	19	Animalia
2685265	Cephalotaxus fortunei	2023	19	Plantae
8577467	Amaranthus tuberculatus	2023	18	Plantae
5341187	Myosotis alpestris	2023	16	Plantae
2480445	Haliaeetus pelagicus	2023	14	Animalia
6550056	Daucus carota var. sativus Hoffm.	2023	14	Plantae
7707872	Aconitum napellus subsp. lusitanicum Rouy	2023	13	Plantae
2474942	Grus vipio	2023	12	Animalia
2474942	Grus vipio	2023	12	Animalia
2929847	Solanum aethiopicum	2023	12	Plantae
3025770	Cotoneaster acutifolius	2023	12	Plantae
4230874	Doronicum willdenowii	2023	12	Plantae
5402363	Dimorphotheca pluvialis	2023	12	Plantae
7339492	Rodgersia aesculifolia	2023	12	Plantae
2653392	Ephedra gerardiana var. sikkimensis Stapf	2023	11	Plantae
2927001	Salvia reflexa	2023	11	Plantae
4423428	Yersinella raymondii	2023	11	Animalia
8292425	Calidris subruficollis	2023	11	Animalia
2705955	Eleusine tristachya	2023	10	Plantae
2985986	Hydrangea arborescens	2023	10	Plantae
4139037	Eragrostis virescens	2023	10	Plantae
8346536	Schkuhria pinnata	2023	10	Plantae
2307929	Placobdella ornata	2023	9	Animalia
2498257	Aythya affinis	2023	9	Animalia
2989222	Rubus tricolor	2023	9	Plantae
3001270	Malus purpurea	2023	9	Plantae
3084611	Mollugo verticillata	2023	9	Plantae
5232422	Chloephaga melanoptera	2023	9	Animalia
7547256	Sinelobus vanhaareni	2023	8	Animalia
9529916	Bufotes viridis	2023	8	Animalia
9629001	Iberodes linifolia	2023	8	Plantae
2162525	Oecobius amboseli	2023	7	Animalia
2479598	Eolophus roseicapilla	2023	7	Animalia
2489080	Lamprotornis purpureus	2023	7	Animalia
2007665	Belonochilus numenius	2023	6	Animalia
2965299	Medicago orbicularis	2023	6	Plantae
2985963	Deutzia crenata	2023	6	Plantae
3040232	Populus deltoides	2023	6	Plantae
3084837	Mesembryanthemum nodiflorum	2023	6	Plantae
3094253	Symphyotrichum subulatum	2023	6	Plantae
3147146	Erigeron speciosus	2023	6	Plantae
5128034	Dryas iulia	2023	6	Animalia
5895429	Natantiella ligneola	2023	6	Fungi
