key	nubKey	scientificName	datasetKey	canonicalName	species	genus	family	order	class	phylum	kingdom	rank	speciesKey	genusKey	familyKey	orderKey	classKey	phylumKey	kingdomKey	taxonomicStatus	locationId	locality	country	status	first_observed	last_observed	establishmentMeans	degree_of_establishment	native_range	native_continent	habitat	marine	freshwater	terrestrial	source	pathway_level1	pathway_level2
152543136	7190901	Graptemys pseudogeographica pseudogeographica	6d9e952f-948c-4483-9807-575348147c7e	Graptemys pseudogeographica pseudogeographica		Graptemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213145	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	2005	2018	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/213159099: Graptemys pseudogeographica pseudogeographica (Gray, 1831) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543136	7190901	Graptemys pseudogeographica pseudogeographica	6d9e952f-948c-4483-9807-575348147c7e	Graptemys pseudogeographica pseudogeographica		Graptemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213145	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	2005	2018	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/213159099: Graptemys pseudogeographica pseudogeographica (Gray, 1831) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543136	7190901	Graptemys pseudogeographica pseudogeographica	6d9e952f-948c-4483-9807-575348147c7e	Graptemys pseudogeographica pseudogeographica		Graptemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213145	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	2005	2018	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/213159099: Graptemys pseudogeographica pseudogeographica (Gray, 1831) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543136	7190901	Graptemys pseudogeographica pseudogeographica	6d9e952f-948c-4483-9807-575348147c7e	Graptemys pseudogeographica pseudogeographica		Graptemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213145	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	2005	2018	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/213159099: Graptemys pseudogeographica pseudogeographica (Gray, 1831) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543136	7190901	Graptemys pseudogeographica pseudogeographica	6d9e952f-948c-4483-9807-575348147c7e	Graptemys pseudogeographica pseudogeographica		Graptemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213145	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	2005	2018	INTRODUCED	introduced	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/213159099: Graptemys pseudogeographica pseudogeographica (Gray, 1831) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543136	7190901	Graptemys pseudogeographica pseudogeographica	6d9e952f-948c-4483-9807-575348147c7e	Graptemys pseudogeographica pseudogeographica		Graptemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213145	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	2005	2018	INTRODUCED	introduced	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/213159099: Graptemys pseudogeographica pseudogeographica (Gray, 1831) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543136	7190901	Graptemys pseudogeographica pseudogeographica	6d9e952f-948c-4483-9807-575348147c7e	Graptemys pseudogeographica pseudogeographica		Graptemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213145	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	2005	2018	INTRODUCED	introduced	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/213159099: Graptemys pseudogeographica pseudogeographica (Gray, 1831) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543136	7190901	Graptemys pseudogeographica pseudogeographica	6d9e952f-948c-4483-9807-575348147c7e	Graptemys pseudogeographica pseudogeographica		Graptemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213145	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	2005	2018	INTRODUCED	introduced	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/213159099: Graptemys pseudogeographica pseudogeographica (Gray, 1831) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2003	2020	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2003	2020	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2003	2020	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2003	2020	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2003	2020	INTRODUCED	introduced	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2003	2020	INTRODUCED	introduced	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2003	2020	INTRODUCED	introduced	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE	Belgium	BE	PRESENT	2003	2020	INTRODUCED	introduced	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-BRU	Brussels-Capital Region	BE	PRESENT	2012	2019	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-BRU	Brussels-Capital Region	BE	PRESENT	2012	2019	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-BRU	Brussels-Capital Region	BE	PRESENT	2012	2019	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-BRU	Brussels-Capital Region	BE	PRESENT	2012	2019	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-BRU	Brussels-Capital Region	BE	PRESENT	2012	2019	INTRODUCED	introduced	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-BRU	Brussels-Capital Region	BE	PRESENT	2012	2019	INTRODUCED	introduced	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-BRU	Brussels-Capital Region	BE	PRESENT	2012	2019	INTRODUCED	introduced	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-BRU	Brussels-Capital Region	BE	PRESENT	2012	2019	INTRODUCED	introduced	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	2003	2020	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	2003	2020	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	release	other
152543139	6157035	Trachemys scripta troostii (Holbrook, 1836)	6d9e952f-948c-4483-9807-575348147c7e	Trachemys scripta troostii		Trachemys	Emydidae		Testudines	Chordata	Animalia	SUBSPECIES		213213142	213213138		213213120	213212182	213212180	ACCEPTED	ISO_3166:BE-VLG	Flemish Region	BE	PRESENT	2003	2020	INTRODUCED	casual	Northern America	America	freshwater|terrestrial	FALSE	TRUE	TRUE	https://www.gbif.org/species/180661220: Trachemys scripta troostii (Holbrook, 1836) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T (2023). Checklist of alien herpetofauna of Belgium. Version 1.3. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c	escape	pet
